osm_id,name,type,ref,lat,lon
node/9895314,Odense,stop,,55.4017777,10.3862054
node/10282865,Viby Sjælland,station,Vy,55.5497139,12.0243564
node/10284430,Slagelse,stop,,55.407401,11.3485762
node/12705571,Espergærde,stop,,55.9954629,12.5495214
node/12705582,Kokkedal,stop,,55.9032555,12.5023903
node/12705587,Rungsted Kyst,station,Ru,55.8824425,12.5315085
node/20946305,Holte,station,Hot,55.8076871,12.4685342
node/21484472,Sundby,stop,,55.64524,12.5858215
node/21484475,DR Byen,stop,,55.6557731,12.5891081
node/21484483,Islands Brygge,stop,,55.6634044,12.5852827
node/21698427,Christianshavn,stop,,55.6720724,12.5913169
node/21701642,Kongens Nytorv,stop,,55.6792212,12.5851403
node/21701643,Nørreport,stop,,55.6838724,12.5727106
node/21701665,Forum,stop,,55.6817729,12.5525121
node/21701666,Frederiksberg,stop,,55.6811562,12.5317534
node/24954656,Rødovre,halt,Rdo,55.6648012,12.4591846
node/24960728,Bispebjerg,halt,Bit,55.7062098,12.5414024
node/24960735,Nørrebro,stop,,55.7003665,12.5377601
node/24960745,Fuglebakken,stop,,55.6952908,12.5266889
node/24961827,KB Hallen,stop,,55.6778218,12.4923752
node/24961841,Nordhavn,stop,,55.7049649,12.5909323
node/25389663,Lergravsparken,stop,,55.6622768,12.6170424
node/25389719,Amagerbro,stop,,55.6633427,12.6028748
node/25389793,Nørreport,stop,,55.6838629,12.5709642
node/25389833,Fasanvej,stop,,55.6815576,12.5235467
node/25872825,Charlottenlund,halt,Ch,55.7517662,12.5723525
node/25872884,Bernstorffsvej,stop,,55.7427501,12.5576867
node/25872885,Bernstorffsvej,stop,,55.7428676,12.5579315
node/25872886,Bernstorffsvej,halt,Bft,55.7428089,12.5578091
node/25872906,Jægersborg,stop,,55.7616945,12.5211854
node/25872919,Lyngby,stop,,55.7680107,12.5030568
node/25872941,Sorgenfri,halt,Sft,55.7812129,12.4835887
node/25872951,Virum,halt,Vir,55.7961547,12.4729758
node/25873451,Allerød,stop,,55.8710652,12.3568755
node/25874148,Emdrup,stop,,55.7207217,12.5410239
node/25874157,Dyssegård,stop,,55.7323971,12.536128
node/25874166,Vangede,stop,,55.7393438,12.5242734
node/25874198,Stengården,stop,,55.7567568,12.4731786
node/25877501,Karlslunde,stop,,55.5663081,12.2696947
node/25877595,Ølby,stop,,55.4797894,12.1755616
node/25877611,Køge,stop,,55.4579813,12.186418
node/26005899,Jyllingevej,stop,,55.6903215,12.4778688
node/26005925,Husum,stop,,55.7102613,12.4630766
node/26005942,Herlev,stop,,55.7187926,12.4435031
node/26005979,Ballerup,stop,,55.7296702,12.3582252
node/26005993,Måløv,stop,,55.7473685,12.3181006
node/26006035,Veksø,stop,,55.74989,12.2405917
node/26006075,Stenløse,stop,,55.7668439,12.190022
node/26006082,Egedal,stop,,55.7797799,12.1854448
node/26006102,Ølstykke,stop,,55.7957424,12.1592918
node/26007425,Nørreport,stop,,55.6834698,12.5716858
node/26026736,Gadstrup,stop,,55.5728286,12.0996947
node/26066490,Havdrup,stop,,55.5433839,12.117405
node/26107297,Køge,stop,,55.4579631,12.186674
node/26200156,Spangsbjerg,stop,,55.4925536,8.4608218
node/26593878,Tjæreborg,stop,,55.4665959,8.5793752
node/26593893,Bramming,stop,,55.4645051,8.7069886
node/27174902,Vejle,stop,5,55.7065229,9.5371242
node/28321802,Jægersborg,station,8600674,55.7618855,12.5215091
node/28321846,Lyngby Lokal,halt,Lyl,55.7739528,12.5055467
node/28321847,Lyngby Lokal,stop,,55.7739462,12.5050668
node/28321897,Fuglevad,station,Fgv,55.7849627,12.4973638
node/28321923,Brede,halt,Bre,55.793725,12.500822
node/28321940,Ørholm,station,Ørh,55.799759,12.5097837
node/28321948,Ravnholm,halt,Rvh,55.8020557,12.5196228
node/30148613,Ryde,station,Ryd,54.7850772,11.3721324
node/30148668,Søllested,station,Søl,54.8111016,11.2703089
node/30148701,Avnede,halt,Avd,54.8289954,11.2151514
node/30149006,Nakskov,station,Nsk,54.8334648,11.1381304
node/30334728,Vejby,station,Vej,56.0625363,12.1363259
node/30334737,Ørby,halt,Øbg,56.0556907,12.1626176
node/30334748,Helsinge,station,Hlg,56.0231203,12.2054546
node/30334754,Duemose,halt,Dug,56.0096416,12.2628678
node/30334760,Kagerup,station,Kgg,55.9974247,12.2860904
node/30334762,Gribsø Trinbræt,halt,Gøg,55.9872318,12.3022266
node/57355234,Aalborg,stop,,57.0428765,9.9167677
node/57355241,Aalborg Vestby,stop,,57.0530095,9.9084537
node/60123928,Ølsted,station,Øls,55.9231206,12.0733664
node/60133347,Hammerum,station,Hu,56.1316708,9.0631533
node/60133363,Herning,stop,,56.1326463,8.9783463
node/60133375,Herning Messecenter,halt,Hrm,56.1237015,8.9445421
node/60133386,Studsgård,stop,,56.0917314,8.9106818
node/60133434,Troldhede,halt,Td,55.9907212,8.7451105
node/60137658,Ry,stop,,56.0912765,9.7587296
node/60137663,Bording,station,Bg,56.1467708,9.278635
node/60137665,Birk Centerpark,halt,Bic,56.1253027,9.0297478
node/60137667,Kibæk,station,Kæ,56.0322903,8.852003
node/60314784,Odense Sygehus,halt,Oss,55.3814457,10.3666312
node/77968486,Pederstrup,halt,Pds,55.2833897,10.4860425
node/77971212,Ringe,station,Re,55.2388658,10.4818048
node/77980670,Stenstrup,stop,,55.1311272,10.5095394
node/103141823,Kastrup,stop,,55.6357106,12.6468748
node/118966600,Kliplev,halt,Kw,54.9351501,9.397753
node/122378422,Femøren,stop,,55.6451749,12.6382463
node/122378444,Amager Strand,stop,,55.6561241,12.6317921
node/122378450,Øresund,stop,,55.6614567,12.6287751
node/130861643,Nørre Alslev,station,Nv,54.8970991,11.885756
node/134517482,Bred,stop,,55.3732976,10.1058362
node/160052674,Holme-Olstrup,station,Ol,55.2611533,11.8489455
node/160052705,Tureby,stop,,55.3733882,12.0760603
node/241500005,Kvissel,stop,,57.4720123,10.4124483
node/241875605,Sindal,stop,,57.4700131,10.2021989
node/242931167,Brønderslev,station,Bl,57.2702469,9.9429985
node/247607880,Nakskov,stop,,54.8335492,11.1381709
node/247608288,Nakskov,stop,,54.8334857,11.1381404
node/252627702,Vellingshøj,halt,Vlh,57.4804343,9.9686692
node/252631111,Svenstrup,stop,,56.97208,9.856217
node/252632187,Skørping,station,Sø,56.8362511,9.8873463
node/252633616,Hobro,stop,,56.6431283,9.7824324
node/254355977,Skanderborg,stop,2,56.0435314,9.9247144
node/255126147,Støvring,halt,Sr,56.8920384,9.843943
node/255126148,Skalborg,halt,Og,57.0078981,9.8978555
node/255126149,Arden,halt,Ad,56.7689807,9.8597954
node/256195607,Lindholm,stop,,57.0671341,9.9046899
node/256675304,Tolne,halt,To,57.4859024,10.3132975
node/270507353,Holløse,halt,Hog,56.0595256,12.1172836
node/274743942,Skjern,station,Sj,55.9473313,8.4921985
node/278651202,Holstebro,stop,,56.3653549,8.6203119
node/278651206,Aulum,station,Uu,56.2652186,8.7881565
node/279575818,Fredensborg,station,Fd,55.9770346,12.4069464
node/279575829,Langerød,halt,Lrt,55.9812303,12.4515485
