osm_id,name,type,ref,lat,lon
node/21427845,Remetinec,halt,,45.7663922,15.945659
node/60442928,Horvati,stop,,45.7137195,15.8174651
node/94301795,Őrtilos,station,,46.2978082,16.8876303
node/148612168,Latinovac,halt,,45.3371401,17.9573142
node/176954562,Sarvaš,stop,,45.5208799,18.834295
node/278682139,Split,stop,,43.5048301,16.4430958
node/286649753,Trnava,stop,,45.818232,16.0484008
node/292188326,Oštarije,stop,,45.234397,15.2963377
node/306269722,Dugo Selo,stop,,45.8013632,16.2348059
node/306286451,Križevci,station,,46.0064951,16.5435476
node/307679950,Đakovo,stop,,45.3137206,18.4217693
node/309219827,Duga Resa,stop,,45.448953,15.4985359
node/313240926,Novi Jankovci,halt,,45.2463827,18.9010249
node/313240931,Novska,stop,,45.3269453,16.9768574
node/320253317,Slatina,station,,45.7055375,17.7062355
node/320254701,Pčelić,halt,,45.7801699,17.5251148
node/320254898,Suhopolje,station,,45.7940318,17.4869069
node/320266976,Špišić Bukovica,station,,45.8458203,17.2987674
node/320267164,Vukosavljevica,halt,,45.8749226,17.2538176
node/320268462,Kloštar,stop,,45.9814843,17.1392077
node/320274726,Novigrad Podravski,halt,,46.0845595,16.9549642
node/320275133,Bregi,stop,,46.1267317,16.8918635
node/320626381,Moravice,station,,45.4229422,15.0164886
node/324151682,Lipovljani,station,,45.3867765,16.8824282
node/331888596,Gomirje,stop,,45.3428463,15.1279957
node/331888601,Vrbovsko,stop,,45.3727102,15.0714879
node/343007581,Ogulinski Hreljin,stop,,45.2960668,15.1781603
node/419129650,Drivenik,station,,45.2672227,14.6913158
node/419129705,Plase,station,,45.2835306,14.6290721
node/419132541,Lokve,stop,,45.3566543,14.7722473
node/419132892,Zalesina,stop,,45.3980458,14.8577655
node/419132988,Kupjak,halt,,45.4001702,14.8905615
node/419134804,Delnice,stop,,45.3915,14.7974815
node/419227169,Moravice,stop,,45.4229039,15.0164669
node/419252847,Košare,halt,,45.2205858,15.3287749
node/434382217,Bedekovčina,station,,46.0415589,15.9978948
node/434382767,Turčin,stop,,46.254066,16.3587779
node/457347706,Kustošija,stop,,45.8105851,15.9279703
node/464688553,Vrhovine,stop,,44.8489373,15.4270564
node/464713818,Perušić,stop,,44.6480341,15.3887946
node/464716607,Gospić,station,,44.5360845,15.3937824
node/464735808,Lički Podhum,halt,,45.1327216,15.3544109
node/472483447,Gračac,stop,,44.3003072,15.8222691
node/478553437,Samatovci,halt,,45.5908426,18.5023253
node/489415915,Osijek Dravski Most,halt,,45.5587065,18.7036209
node/495811108,Ludbreg,station,,46.2562503,16.612046
node/496303260,Standard,halt,,45.5452869,18.7422071
node/496815099,Popovača,stop,,45.5591426,16.6236259
node/497549030,Gajnice,stop,,45.8135097,15.8742119
node/497549031,Vrapče,stop,,45.8123087,15.8965134
